날짜,가격_만원
2023-08-01,6500
2023-08-01,37800
2023-08-01,9300
2023-08-02,25000
2023-08-02,32600
2023-08-02,22000
2023-08-02,19000
2023-08-02,14000
2023-08-02,20300
2023-08-03,42500
2023-08-03,47500
2023-08-03,35700
2023-08-03,7000
2023-08-03,65800
2023-08-03,36400
2023-08-03,38000
2023-08-03,37500
2023-08-03,49500
2023-08-03,47500
2023-08-03,51000
2023-08-04,33000
2023-08-04,17200
2023-08-04,33500
2023-08-04,56500
2023-08-04,44500
2023-08-04,99000
2023-08-04,39255
2023-08-04,50000
2023-08-05,30000
2023-08-05,17500
2023-08-05,63000
2023-08-05,48500
2023-08-05,56200
2023-08-05,20000
2023-08-06,15300
2023-08-07,34500
2023-08-07,8150
2023-08-07,95000
2023-08-07,25300
2023-08-07,46800
2023-08-07,36000
2023-08-07,16700
2023-08-08,23000
2023-08-08,57500
2023-08-08,17300
2023-08-08,33300
2023-08-08,24000
2023-08-08,5450
2023-08-08,53000
2023-08-08,8000
2023-08-08,23800
2023-08-08,41200
2023-08-09,64000
2023-08-09,43850
2023-08-09,36000
2023-08-09,46000
2023-08-09,25500
2023-08-09,26500
2023-08-10,24700
2023-08-10,29700
2023-08-10,17500
2023-08-10,69500
2023-08-10,57000
2023-08-11,51700
2023-08-11,23000
2023-08-11,24800
2023-08-11,50000
2023-08-11,32000
2023-08-12,13400
2023-08-12,20500
2023-08-13,27000
2023-08-13,5900
2023-08-14,29500
2023-08-14,36000
2023-08-14,49000
2023-08-14,40500
2023-08-14,52500
2023-08-14,47500
2023-08-14,39500
2023-08-14,100500
2023-08-14,16000
2023-08-14,50500
2023-08-14,16100
2023-08-14,23800
2023-08-14,5750
2023-08-15,51500
2023-08-15,31000
2023-08-15,50000
2023-08-15,59500
2023-08-15,4700
2023-08-15,17700
2023-08-16,31000
2023-08-16,9000
2023-08-16,21700
2023-08-16,52000
2023-08-16,68000
2023-08-16,17750
2023-08-16,32100
2023-08-16,25000
2023-08-16,44000
2023-08-16,37000
2023-08-16,24400
2023-08-16,27400
2023-08-16,9400
2023-08-16,20500
2023-08-16,30900
2023-08-16,25000
2023-08-17,26700
2023-08-17,34000
2023-08-17,19800
2023-08-17,71000
2023-08-17,19000
2023-08-17,38500
2023-08-17,71000
2023-08-17,21800
2023-08-17,37900
2023-08-17,48500
2023-08-18,57000
2023-08-18,28400
2023-08-18,24700
2023-08-18,8100
2023-08-18,57000
2023-08-18,13000
2023-08-18,51750
2023-08-18,21800
2023-08-18,32000
2023-08-19,12000
2023-08-19,12000
2023-08-19,26000
2023-08-19,30000
2023-08-19,13500
2023-08-20,21500
2023-08-21,24000
2023-08-21,57500
2023-08-21,46000
2023-08-21,25000
2023-08-21,34000
2023-08-21,40500
2023-08-21,45500
2023-08-21,40000
2023-08-21,43000
2023-08-21,45500
2023-08-22,22300
2023-08-22,13200
2023-08-22,32500
2023-08-22,55000
2023-08-22,80000
2023-08-22,23000
2023-08-22,23500
2023-08-22,42000
2023-08-22,80000
2023-08-22,30000
2023-08-22,22400
2023-08-23,68900
2023-08-23,23000
2023-08-23,12200
2023-08-23,73000
2023-08-23,75700
2023-08-23,75700
2023-08-23,32000
2023-08-24,20700
2023-08-24,35000
2023-08-24,86000
2023-08-24,9900
2023-08-24,33000
2023-08-24,11000
2023-08-25,35000
2023-08-25,4800
2023-08-25,55000
2023-08-25,27450
2023-08-25,22500
2023-08-25,19000
2023-08-25,61500
2023-08-25,24700
2023-08-25,43800
2023-08-25,43000
2023-08-25,35000
2023-08-25,18500
2023-08-26,27500
2023-08-26,15500
2023-08-26,7200
2023-08-27,14400
2023-08-27,60000
2023-08-27,25000
2023-08-27,67000
2023-08-28,33800
2023-08-28,20500
2023-08-28,34000
2023-08-28,21500
