날짜,가격_만원,전용면적_㎡,행정구역,단가_만원_per_㎡
2023-03-31,27000,107.93,제주시,250.16214212915776
2023-03-31,39500,83.28,제주시,474.3035542747358
2023-04-01,26000,84.9457,서귀포시,306.0778826944742
2023-04-01,24500,67.93,제주시,360.66539084351535
2023-04-01,27500,80.72,제주시,340.6838453914767
2023-04-01,26500,76.7,제주시,345.5019556714472
2023-04-01,52000,84.3616,제주시,616.3941888252475
2023-04-03,20000,49.896,제주시,400.8337341670675
2023-04-03,49000,129.615,제주시,378.04266481502907
2023-04-03,18500,59.4,제주시,311.44781144781143
2023-04-03,29500,57.19,제주시,515.8244448330128
2023-04-03,23500,55.79,제주시,421.2224412977236
2023-04-03,10000,59.59,제주시,167.81339150864238
2023-04-03,53000,84.3616,제주시,628.2479232257331
2023-04-03,31000,55.79,제주시,555.655135328912
2023-04-03,43000,98.588,제주시,436.1585588509758
2023-04-03,52000,97.8898,제주시,531.2095846553982
2023-04-03,20500,69.3757,제주시,295.4925139494088
2023-04-03,26000,55.79,제주시,466.03333930811976
2023-04-04,27890,55.79,제주시,499.91037820397923
2023-04-04,32000,45.9078,제주시,697.0493031685247
2023-04-04,51600,129.615,제주시,398.10207151950004
2023-04-04,29500,84.68,서귀포시,348.370335380255
2023-04-05,68000,76.6417,제주시,887.2454551503946
2023-04-05,23000,57.2849,제주시,401.50196648680543
2023-04-05,7300,22.4893,제주시,324.5988092114917
2023-04-05,35000,84.9388,제주시,412.06139008321287
2023-04-05,18700,49.87,서귀포시,374.97493483055945
2023-04-05,12000,62.9618,애월읍,190.59175563595704
2023-04-05,57700,84.67,제주시,681.4692334947443
2023-04-05,57700,84.67,제주시,681.4692334947443
2023-04-05,10500,36.11,제주시,290.77817779008586
2023-04-05,10500,36.11,제주시,290.77817779008586
2023-04-06,23500,73.83,한림읍,318.2987945279697
2023-04-06,14300,56.4,제주시,253.54609929078015
2023-04-06,46800,118.98,제주시,393.34341906202724
2023-04-06,30000,45.9078,제주시,653.4837217204919
2023-04-06,11000,39.75,제주시,276.7295597484277
2023-04-07,85000,120.9434,제주시,702.8080903960034
2023-04-07,38000,81.485,제주시,466.34349880346076
2023-04-07,11800,21.2369,제주시,555.6366513003311
2023-04-08,28000,84.89,대정읍,329.8386146778183
2023-04-08,36500,59.8882,서귀포시,609.4689771941719
2023-04-08,31800,45.9078,제주시,692.6927450237214
2023-04-08,29500,84.9,제주시,347.46760895170786
2023-04-09,15700,67.47,제주시,232.69601304283387
